iter	Logloss
0	0.4293634918
1	0.2784438253
2	0.2034728852
3	0.151978274
4	0.1082802928
5	0.08674842378
6	0.07051640844
7	0.05692661336
8	0.04896839808
9	0.03953654716
10	0.03494737848
11	0.03058447856
12	0.02793241839
13	0.02530139316
14	0.02338936341
15	0.02201302473
16	0.020420066
17	0.0191435153
18	0.01815009191
19	0.01705369311
20	0.01634319334
21	0.01557469339
22	0.01500145163
23	0.01436868363
24	0.0133205504
25	0.01246295327
26	0.01164859668
27	0.0112397094
28	0.01088756163
29	0.01029109204
30	0.01006802355
31	0.009773454097
32	0.00949160265
33	0.009239653084
34	0.008921686681
35	0.008842346639
36	0.008573709583
37	0.008253958223
38	0.00802492231
39	0.007793137371
40	0.007693545724
41	0.007473742638
42	0.007296880278
43	0.006995201126
44	0.006900830663
45	0.006807165396
46	0.00665027605
47	0.006521240535
48	0.006386262193
49	0.006064561508
50	0.005884216911
51	0.005801477011
52	0.0055365553
53	0.005347945231
54	0.005209536187
55	0.005167332121
56	0.004987837573
57	0.00490444853
58	0.004824634157
59	0.004714821772
60	0.004625722801
61	0.004513963716
62	0.00437518757
63	0.00425571926
64	0.004216748541
65	0.004187229697
66	0.004162813809
67	0.003968249701
68	0.003915360646
69	0.003852725165
70	0.003842761573
71	0.003745647684
72	0.003719238567
73	0.003687054993
74	0.003669712613
75	0.003546833445
76	0.003466041313
77	0.003418194735
78	0.00336172338
79	0.003287379365
80	0.003150202987
81	0.003096760359
82	0.003067169802
83	0.003014143171
84	0.00299558612
85	0.002969395558
86	0.002955282792
87	0.002931472839
88	0.002895008727
89	0.00286468572
90	0.002824285709
91	0.002789379512
92	0.002770085117
93	0.002699134605
94	0.002684292703
95	0.002634319363
96	0.002614929126
97	0.002580229479
98	0.002563321172
99	0.002551871635
100	0.002491355281
101	0.002468410594
102	0.002426847123
103	0.00242235106
104	0.002380099654
105	0.002342936638
106	0.00231938926
107	0.00230983521
108	0.002302491291
109	0.002273973414
110	0.002267309642
111	0.002253521359
112	0.002230847785
113	0.00221072346
114	0.002174375578
115	0.002169292749
116	0.002153242069
117	0.002117611973
118	0.002087627547
119	0.002087614029
120	0.002073030871
121	0.002073028891
122	0.002066976841
123	0.002045751642
124	0.002029040585
125	0.001984083251
126	0.001972039306
127	0.001956145597
128	0.001941100832
129	0.001919280166
130	0.001907208694
131	0.001879347155
132	0.001872756055
133	0.001819256041
134	0.001819255338
135	0.001819241314
136	0.001806539956
137	0.001781176967
138	0.001755491714
139	0.001750262349
140	0.001726590631
141	0.001721026025
142	0.001713396484
143	0.001694925898
144	0.001651885126
145	0.001641406875
146	0.001632880989
147	0.001632876142
148	0.001624333365
149	0.001624322267
150	0.001624319554
151	0.001624329284
152	0.001616268137
153	0.001594171577
154	0.00158322155
155	0.001583231789
156	0.001568236585
157	0.001556849977
158	0.001543042961
159	0.001543042961
160	0.001543042961
161	0.001529770599
162	0.001503180063
163	0.001503162549
164	0.001491476004
165	0.0014759617
166	0.001467461945
167	0.001459375632
168	0.001459385262
169	0.001459382214
170	0.001459362711
171	0.001459367571
172	0.001459342819
173	0.001459332239
174	0.001459330607
175	0.001459335045
176	0.001459338369
177	0.001459331503
178	0.001459311094
179	0.001459308645
180	0.00145928225
181	0.001459281892
182	0.001459292278
183	0.001459265
184	0.001459274491
185	0.001459244455
186	0.001459231465
187	0.001459234172
188	0.001459218614
189	0.001459204412
190	0.001459201204
191	0.001459183879
192	0.001459187742
193	0.001459174964
194	0.001459160253
195	0.001459157368
196	0.001459157368
197	0.001459157368
198	0.001459157368
199	0.001459157368
200	0.001459157368
201	0.001459157368
202	0.001459157368
203	0.001459157368
204	0.001459157368
205	0.001459157368
206	0.001459157368
207	0.001459157368
208	0.001459157368
209	0.001459157368
210	0.001459157368
211	0.001459157368
212	0.001459157368
213	0.001459157368
214	0.001459157368
215	0.001459157368
216	0.001459157368
217	0.001459157368
218	0.001459157368
219	0.001459157368
220	0.001459157368
221	0.001459157368
222	0.001459157368
223	0.001459157368
224	0.001459157368
225	0.001459157368
226	0.001459157368
227	0.001459157368
228	0.001459157368
229	0.001459157368
230	0.001459157368
231	0.001459157368
232	0.001459157368
233	0.001459157368
234	0.001459157368
235	0.001459157368
236	0.001459157368
237	0.001459157368
238	0.001459157368
239	0.001459157368
240	0.001459157368
241	0.001459157368
242	0.001459157368
243	0.001459157368
244	0.001459157368
245	0.001459157368
246	0.001459157368
247	0.001459157368
248	0.001459157368
249	0.001459157368
250	0.001459157368
251	0.001459157368
252	0.001459157368
253	0.001459157368
254	0.001459157368
255	0.001459157368
256	0.001459157368
257	0.001459157368
258	0.001459157368
259	0.001459157368
260	0.001459157368
261	0.001459157368
262	0.001459157368
263	0.001459157368
264	0.001459157368
265	0.001459157368
266	0.001459157368
267	0.001459157368
268	0.001459157368
269	0.001459157368
270	0.001459157368
271	0.001459157368
272	0.001459157368
273	0.001459157368
274	0.001459157368
275	0.001459157368
276	0.001459157368
277	0.001459157368
278	0.001459157368
279	0.001459157368
280	0.001459157368
281	0.001459157368
282	0.001459157368
283	0.001459157368
284	0.001459157368
285	0.001459157368
286	0.001459157368
287	0.001459157368
288	0.001459157368
289	0.001459157368
290	0.001459157368
291	0.001459157368
292	0.001459157368
293	0.001459157368
294	0.001459157368
295	0.001459157368
296	0.001459157368
297	0.001459157368
298	0.001459157368
299	0.001459157368
